run_id,step,birth_index,birth_type,death_index,death_type,event,mutants_before,mutants_after,N,true_r,true_i0
exp002_run01,0,20,B,19,B,20B:19B,13,13,22,1.3,13
exp002_run01,1,10,A,3,A,10A:3A,13,13,22,1.3,13
exp002_run01,2,7,A,16,B,7A:16B,13,14,22,1.3,13
exp002_run01,3,11,A,12,A,11A:12A,14,14,22,1.3,13
exp002_run01,4,5,A,19,B,5A:19B,14,15,22,1.3,13
exp002_run01,5,9,A,10,A,9A:10A,15,15,22,1.3,13
exp002_run01,6,21,B,6,A,21B:6A,15,14,22,1.3,13
exp002_run01,7,19,A,0,A,19A:0A,14,14,22,1.3,13
exp002_run01,8,7,A,20,B,7A:20B,14,15,22,1.3,13
exp002_run01,9,17,B,1,A,17B:1A,15,14,22,1.3,13
exp002_run01,10,20,A,0,A,20A:0A,14,14,22,1.3,13
exp002_run01,11,11,A,10,A,11A:10A,14,14,22,1.3,13
exp002_run01,12,19,A,20,A,19A:20A,14,14,22,1.3,13
exp002_run01,13,14,B,18,B,14B:18B,14,14,22,1.3,13
exp002_run01,14,12,A,8,A,12A:8A,14,14,22,1.3,13
exp002_run01,15,13,B,4,A,13B:4A,14,13,22,1.3,13
exp002_run01,16,17,B,5,A,17B:5A,13,12,22,1.3,13
exp002_run01,17,18,B,21,B,18B:21B,12,12,22,1.3,13
exp002_run01,18,11,A,5,B,11A:5B,12,13,22,1.3,13
exp002_run01,19,2,A,10,A,2A:10A,13,13,22,1.3,13
exp002_run01,20,17,B,21,B,17B:21B,13,13,22,1.3,13
exp002_run01,21,9,A,16,A,9A:16A,13,13,22,1.3,13
exp002_run01,22,9,A,16,A,9A:16A,13,13,22,1.3,13
exp002_run01,23,11,A,3,A,11A:3A,13,13,22,1.3,13
exp002_run01,24,4,B,20,A,4B:20A,13,12,22,1.3,13
exp002_run01,25,2,A,8,A,2A:8A,12,12,22,1.3,13
exp002_run01,26,11,A,21,B,11A:21B,12,13,22,1.3,13
exp002_run01,27,15,B,17,B,15B:17B,13,13,22,1.3,13
exp002_run01,28,13,B,6,B,13B:6B,13,13,22,1.3,13
exp002_run01,29,3,A,7,A,3A:7A,13,13,22,1.3,13
exp002_run01,30,14,B,3,A,14B:3A,13,12,22,1.3,13
exp002_run01,31,6,B,15,B,6B:15B,12,12,22,1.3,13
exp002_run01,32,0,A,2,A,0A:2A,12,12,22,1.3,13
exp002_run01,33,8,A,8,A,8A:8A,12,12,22,1.3,13
exp002_run01,34,8,A,4,B,8A:4B,12,13,22,1.3,13
exp002_run01,35,18,B,21,A,18B:21A,13,12,22,1.3,13
exp002_run01,36,8,A,5,A,8A:5A,12,12,22,1.3,13
exp002_run01,37,14,B,19,A,14B:19A,12,11,22,1.3,13
exp002_run01,38,3,B,11,A,3B:11A,11,10,22,1.3,13
exp002_run01,39,12,A,0,A,12A:0A,10,10,22,1.3,13
