step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,19B:12B,19,B,12,B,3,3,20
1,15B:10B,15,B,10,B,3,3,20
2,14B:13B,14,B,13,B,3,3,20
3,3B:12B,3,B,12,B,3,3,20
4,4B:17B,4,B,17,B,3,3,20
5,9B:7B,9,B,7,B,3,3,20
6,6B:4B,6,B,4,B,3,3,20
7,16B:1A,16,B,1,A,3,2,20
8,11B:13B,11,B,13,B,2,2,20
9,11B:4B,11,B,4,B,2,2,20
10,8B:8B,8,B,8,B,2,2,20
11,4B:2A,4,B,2,A,2,1,20
12,18B:11B,18,B,11,B,1,1,20
13,2B:6B,2,B,6,B,1,1,20
14,1B:12B,1,B,12,B,1,1,20
15,13B:19B,13,B,19,B,1,1,20
16,1B:2B,1,B,2,B,1,1,20
17,3B:18B,3,B,18,B,1,1,20
18,14B:17B,14,B,17,B,1,1,20
19,4B:6B,4,B,6,B,1,1,20
20,17B:10B,17,B,10,B,1,1,20
21,6B:0A,6,B,0,A,1,0,20
