step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,15B:4A,15,B,4,A,11,10,20
1,18B:19B,18,B,19,B,10,10,20
2,16B:6A,16,B,6,A,10,9,20
3,4B:3A,4,B,3,A,9,8,20
4,4B:3B,4,B,3,B,8,8,20
5,14B:12B,14,B,12,B,8,8,20
6,10A:13B,10,A,13,B,8,9,20
7,7A:4B,7,A,4,B,9,10,20
8,6B:2A,6,B,2,A,10,9,20
9,6B:19B,6,B,19,B,9,9,20
10,14B:19B,14,B,19,B,9,9,20
11,6B:0A,6,B,0,A,9,8,20
12,17B:9A,17,B,9,A,8,7,20
13,3B:19B,3,B,19,B,7,7,20
14,12B:12B,12,B,12,B,7,7,20
15,6B:1A,6,B,1,A,7,6,20
16,16B:7A,16,B,7,A,6,5,20
17,11B:3B,11,B,3,B,5,5,20
18,3B:19B,3,B,19,B,5,5,20
19,1B:0B,1,B,0,B,5,5,20
20,19B:10A,19,B,10,A,5,4,20
21,2B:18B,2,B,18,B,4,4,20
22,9B:17B,9,B,17,B,4,4,20
23,14B:15B,14,B,15,B,4,4,20
24,19B:2B,19,B,2,B,4,4,20
25,0B:2B,0,B,2,B,4,4,20
26,0B:6B,0,B,6,B,4,4,20
27,0B:1B,0,B,1,B,4,4,20
28,19B:12B,19,B,12,B,4,4,20
29,10B:16B,10,B,16,B,4,4,20
30,16B:13A,16,B,13,A,4,3,20
31,14B:2B,14,B,2,B,3,3,20
32,13B:17B,13,B,17,B,3,3,20
33,13B:8A,13,B,8,A,3,2,20
34,1B:2B,1,B,2,B,2,2,20
35,10B:6B,10,B,6,B,2,2,20
36,19B:4A,19,B,4,A,2,1,20
37,11B:12B,11,B,12,B,1,1,20
38,12B:2B,12,B,2,B,1,1,20
39,6B:13B,6,B,13,B,1,1,20
40,14B:7B,14,B,7,B,1,1,20
41,1B:2B,1,B,2,B,1,1,20
42,18B:3B,18,B,3,B,1,1,20
43,9B:19B,9,B,19,B,1,1,20
44,1B:5A,1,B,5,A,1,0,20
