step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,7A:8A,7,A,8,A,12,12,15
1,11A:0A,11,A,0,A,12,12,15
2,12B:4A,12,B,4,A,12,11,15
3,14B:6A,14,B,6,A,11,10,15
4,9A:4B,9,A,4,B,10,11,15
5,1A:4A,1,A,4,A,11,11,15
6,11A:8A,11,A,8,A,11,11,15
7,3A:6B,3,A,6,B,11,12,15
8,7A:2A,7,A,2,A,12,12,15
9,2A:14B,2,A,14,B,12,13,15
10,13B:1A,13,B,1,A,13,12,15
11,5A:10A,5,A,10,A,12,12,15
12,2A:8A,2,A,8,A,12,12,15
13,4A:9A,4,A,9,A,12,12,15
14,10A:3A,10,A,3,A,12,12,15
15,9A:3A,9,A,3,A,12,12,15
16,5A:12B,5,A,12,B,12,13,15
17,10A:13B,10,A,13,B,13,14,15
18,5A:14A,5,A,14,A,14,14,15
19,7A:14A,7,A,14,A,14,14,15
20,14A:8A,14,A,8,A,14,14,15
21,13A:14A,13,A,14,A,14,14,15
22,10A:14A,10,A,14,A,14,14,15
23,7A:12A,7,A,12,A,14,14,15
24,5A:7A,5,A,7,A,14,14,15
25,4A:0A,4,A,0,A,14,14,15
26,13A:3A,13,A,3,A,14,14,15
27,3A:12A,3,A,12,A,14,14,15
28,9A:9A,9,A,9,A,14,14,15
29,11A:1B,11,A,1,B,14,15,15
